"","Name","ID Number","Date","RTNG"
"320","Chernin, Alexander",715620,1988-01-01,2560
"321","Chernin, Alexander",715620,1987-07-01,2580
"322","Chernin, Alexander",715620,1987-01-01,2570
"323","Chernin, Alexander",715620,1986-07-01,2565
"324","Chernin, Alexander",715620,1986-01-01,2570
"325","Chernin, Alexander",715620,1985-07-01,2560
"326","Chernin, Alexander",715620,1985-01-01,2495
"327","Chernin, Alexander",715620,1984-07-01,2475
"328","Chernin, Alexander",715620,1984-01-01,2475
"329","Chernin, Alexander",715620,1983-07-01,2455
"330","Chernin, Alexander",715620,1983-01-01,2475
"331","Chernin, Alexander",715620,1982-07-01,2470
"332","Chernin, Alexander",715620,1982-01-01,2490
"333","Chernin, Alexander",715620,1981-07-01,2455
"334","Chernin, Alexander",715620,1981-01-01,2470
"335","Chernin, Alexander",715620,1980-07-01,2375
"336","Drozdovskij, Yuri",14107180,1999-07-01,2315
"337","Drozdovskij, Yuri",14107180,1999-01-01,2312
"338","Drozdovskij, Yuri",14107180,1998-07-01,2295
"339","Drozdovskij, Yuri",14107180,1998-01-01,2220
"340","Efimenko, Zahar",14107201,1999-07-01,2332
"341","Efimenko, Zahar",14107201,1999-01-01,2343
"342","Efimenko, Zahar",14107201,1998-07-01,2330
"343","Efimenko, Zahar",14107201,1998-01-01,2245
"344","Eljanov, Pavel",14102951,1999-07-01,2447
"345","Eljanov, Pavel",14102951,1999-01-01,2418
"346","Eljanov, Pavel",14102951,1998-07-01,2350
"347","Eljanov, Pavel",14102951,1998-01-01,2310
"348","Eljanov, Pavel",14102951,1997-07-01,2190
"349","Eljanov, Pavel",14102951,1997-01-01,2195
"350","Eljanov, Pavel",14102951,1996-07-01,2195
"351","Eljanov, Pavel",14102951,1996-01-01,2155
"352","Erdos, Viktor",719978,1999-07-01,2147
"353","Erdos, Viktor",719978,1999-01-01,2158
"354","Erdos, Viktor",719978,1998-07-01,2115
"355","Erdos, Viktor",719978,1998-01-01,2135
"356","Fressinet, Laurent",608742,1999-07-01,2440
"357","Fressinet, Laurent",608742,1999-01-01,2424
"358","Fressinet, Laurent",608742,1998-07-01,2455
"359","Fressinet, Laurent",608742,1998-01-01,2450
"360","Fressinet, Laurent",608742,1997-07-01,2335
"361","Fressinet, Laurent",608742,1997-01-01,2320
"362","Fressinet, Laurent",608742,1996-07-01,2315
"363","Fressinet, Laurent",608742,1996-01-01,2290
"364","Fressinet, Laurent",608742,1995-07-01,2145
"365","Fressinet, Laurent",608742,1995-01-01,2135
"366","Fridman, Daniel",11600454,1999-07-01,2526
"367","Fridman, Daniel",11600454,1999-01-01,2529
"368","Fridman, Daniel",11600454,1998-07-01,2515
"369","Fridman, Daniel",11600454,1998-01-01,2520
"370","Fridman, Daniel",11600454,1997-07-01,2480
"371","Fridman, Daniel",11600454,1997-01-01,2490
"372","Fridman, Daniel",11600454,1996-07-01,2500
"373","Fridman, Daniel",11600454,1996-01-01,2500
"374","Fridman, Daniel",11600454,1995-07-01,2490
"375","Fridman, Daniel",11600454,1995-01-01,2440
"376","Fridman, Daniel",11600454,1994-07-01,2440
"377","Fridman, Daniel",11600454,1994-01-01,2440
"378","Fridman, Daniel",11600454,1993-07-01,2425
"379","Fridman, Daniel",11600454,1993-01-01,2380
"380","Fridman, Daniel",11600454,1992-07-01,2390
"381","Fridman, Daniel",11600454,1992-01-01,2390
"382","Gajewski, Grzegorz",1116207,1999-07-01,2127
"383","Gajewski, Grzegorz",1116207,1999-01-01,2143
"384","Gajewski, Grzegorz",1116207,1998-07-01,2145
"385","Gajewski, Grzegorz",1116207,1998-01-01,2135
"386","Galkin, Alexander",4120426,1999-07-01,2535
"387","Galkin, Alexander",4120426,1999-01-01,2507
"388","Galkin, Alexander",4120426,1998-07-01,2540
"389","Galkin, Alexander",4120426,1998-01-01,2565
"390","Galkin, Alexander",4120426,1997-07-01,2540
"391","Galkin, Alexander",4120426,1997-01-01,2510
"392","Galkin, Alexander",4120426,1996-07-01,2425
"393","Galkin, Alexander",4120426,1996-01-01,2420
"394","Galkin, Alexander",4120426,1995-07-01,2430
"395","Galkin, Alexander",4120426,1995-01-01,2415
"396","Galkin, Alexander",4120426,1994-07-01,2375
"397","Gelfand, Boris",2805677,1999-07-01,2713
"398","Gelfand, Boris",2805677,1999-01-01,2691
"399","Gelfand, Boris",2805677,1998-07-01,2675
"400","Gelfand, Boris",2805677,1998-01-01,2675
"401","Gelfand, Boris",2805677,1997-07-01,2695
"402","Gelfand, Boris",2805677,1997-01-01,2700
"403","Gelfand, Boris",2805677,1996-07-01,2665
